Id,Label,Type
urn:uuid:6154f028-3175-4f5a-9561-76f15532f9a5,Information Architecture - Education & Training,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:47664a3d-96ca-406a-a696-1e44a38eba11,Information Architecture - General,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:6699d2a4-ed54-4226-81b5-617419805f69,Information Architecture - Job Skills,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7d8b5d1e-9a48-40a1-bfc7-7c5e2713360c,Information Architecture - Practices,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ec0b6d04-cdcc-436d-90cb-385b39018249,Information Architecture - Theory,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:13c9acce-5573-4fed-b0c8-6b0852bf7fab,Information Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:96172e29-c4ad-4cab-8cf5-829d4cd1c238,Information Organization,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ff7825ba-8bd4-4a3d-9b15-a8bbe2297b96,Information Retrieval,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7f7764bd-1290-40be-9004-ef59aaee242c,Information Scent,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:09ddcfdd-99e3-458b-8b5b-c85c6b4fe98d,Information Science,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:74283f02-b97d-49ef-b3d5-9bed22a21503,Information Seeking Behavior,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:9cd4c251-b8ad-43be-bb32-2ffedd867d30,Instant Messaging,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:3adf3c77-1d2e-4c04-8c96-f2f3af20302f,Interaction Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:c920bff7-42f7-4b87-8e7a-80b342a893dd,Interface Design,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:609d8ce1-0798-4724-9501-80dda087fac8,Intranets & Extranets,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:2f2524f5-0803-4fd4-ae03-831e01c24d37,Journalism,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:4d5a166e-36ef-4a0f-9590-4e6fc04749f7,Justification,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:0b7ff419-bfa9-4880-a5da-0af7cc6608b2,Knowledge Management,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:fbf83017-f24e-4005-a2b4-9a9197e38b32,Labeling,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:314897d6-bea0-4d2e-874d-7358b98873a8,Language Processing,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:355683ab-9c6d-4a7f-9a6f-7ea75670776b,Laptop & Tablet Computers,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:1ce1033a-3d7d-4de2-befe-a72074f19cd6,Law,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:48a4c68f-e50c-4b49-864c-cd8c80383761,Library & Information Science,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:fdf942fa-47b3-40a7-b6f3-eceeec75c50b,Macromedia Flash,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:d7e51e3b-5c77-4c5d-b506-647735e81ab2,Management,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:e0783629-9a00-4eda-b9ff-f42a35eecaac,Measurement & Research,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:18869c1d-e6e2-4ffb-bf44-8a13ec9b88b2,Media,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ed14602c-f3b6-48c8-b50c-aa6b9f48f80e,Metadata,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:5fdef3d7-de61-479b-81e3-c9c3bcbc5ba5,Mobile Phones,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:e1e14be0-393b-4ffb-9a0d-40a036bcbfbc,Navigation,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:7335e038-ad13-47b7-9c86-e5c1a400ad67,Ontologies,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ff5464b5-0c9c-450f-a2a5-fc3eca37114b,Organization,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:5e5bf5a1-65c4-448d-a538-c44e5adb59e8,Organizational Theory,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:68a6f8d7-cdec-47dc-b9a6-febe27580082,Patterns,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:c6c897e5-c2d3-4342-8457-2f1a69be6623,Patterns,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ab009827-4e41-426e-aa86-705e7e8ee441,Personal Digital Assistants,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:c80a070e-1565-4654-8103-e59769007f42,Personal Digital Assistants,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:17e6a8e5-7c7c-4c65-8f5b-cbbd11ff1825,Personalization & Customization,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:e692133d-7e9d-4f18-8cdd-daaaad02de83,Personas,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:ccf73214-f792-4771-9dec-53958624c839,Portals,http://www.w3.org/2004/02/skos/core#Concept
urn:uuid:346e455f-728d-4540-b573-a12c0a6b95b9,Primary Navigation,http://www.w3.org/2004/02/skos/core#Concept
